,home,net_points,net_yard,net_turn,weekly_rank,spread,Win,WinSpread
4278,1,-60,-527,2,19,6.5,0.0,0.0
4279,0,9,197,-2,12,-6.5,1.0,1.0
4280,1,-63,-93,6,32,3.0,1.0,1.0
4281,0,6,-127,-3,17,-3.0,0.0,0.0
4282,1,-29,-259,-1,18,-6.0,1.0,1.0
4283,0,-17,-259,3,27,6.0,0.0,0.0
4284,1,80,332,-4,1,-7.0,1.0,0.5
4285,0,54,553,-5,8,7.0,0.0,0.5
4286,1,-8,-204,1,21,-4.5,1.0,1.0
4287,0,-27,270,5,26,4.5,0.0,0.0
4288,1,-17,134,4,30,6.0,0.0,1.0
4289,0,40,227,-2,7,-6.0,1.0,0.0
4290,1,-52,-169,8,24,-1.0,0.0,0.0
4291,0,13,-231,-3,15,1.0,1.0,1.0
4292,1,-21,-328,6,11,-5.0,0.0,0.0
4293,0,-30,-136,2,20,5.0,1.0,1.0
4294,1,-32,-191,2,29,-3.5,1.0,1.0
4295,0,37,-161,-6,10,3.5,0.0,0.0
4296,1,-21,-17,2,22,-3.0,1.0,0.0
4297,0,-38,90,2,31,3.0,0.0,1.0
4298,1,-25,472,4,13,-3.0,0.0,0.0
4299,0,-17,-195,0,23,3.0,1.0,1.0
4300,1,3,-238,-6,14,-3.0,1.0,1.0
4301,0,-30,-4,5,16,3.0,0.0,0.0
4302,1,41,-19,-6,6,-2.5,1.0,1.0
4303,0,34,-6,-2,9,2.5,0.0,0.0
4304,1,88,462,-3,4,-10.0,1.0,0.0
4305,0,-19,-67,5,28,10.0,0.0,1.0
4306,1,87,313,-5,1,-8.0,1.0,1.0
4307,0,10,-23,1,13,8.0,0.0,0.0
4308,1,-22,-153,-1,22,3.0,1.0,1.0
4309,0,-61,-320,7,31,-3.0,0.0,0.0
4310,1,-11,-315,-4,12,-8.0,1.0,1.0
4311,0,-77,-773,0,27,8.0,0.0,0.0
4312,1,-59,-66,1,25,1.5,0.0,0.0
4313,0,22,-80,-2,11,-1.5,1.0,1.0
4314,1,27,-199,-3,10,0.0,0.0,0.0
4315,0,60,238,-3,3,0.0,1.0,1.0
4316,1,-45,89,5,29,-3.5,1.0,1.0
4317,0,-20,12,4,30,3.5,0.0,0.0
4318,1,43,349,-2,7,-8.0,0.0,0.0
4319,0,-39,214,2,28,8.0,1.0,1.0
4320,1,-24,-63,0,17,-3.0,1.0,0.5
4321,0,10,-409,-10,14,3.0,0.0,0.5
4322,1,-27,-205,7,26,-4.5,1.0,0.0
4323,0,-33,477,6,21,4.5,0.0,1.0
4324,1,-35,-203,6,24,7.0,0.0,0.0
4325,0,96,600,-5,6,-7.0,1.0,1.0
4326,1,-9,-200,-2,16,3.0,1.0,1.0
4327,0,47,572,-4,8,-3.0,0.0,0.0
4328,1,-37,167,9,20,5.0,0.0,1.0
4329,0,26,443,0,9,-5.0,1.0,0.0
4330,1,37,267,-6,4,2.0,1.0,1.0
4331,0,63,55,-6,2,-2.0,0.0,0.0
4332,1,52,26,-4,5,-5.5,1.0,0.0
4333,0,-27,-401,8,18,5.5,0.0,1.0
4334,1,66,178,-4,3,-13.0,1.0,1.0
4335,0,-49,-440,4,23,13.0,0.0,0.0
4336,1,25,-58,-1,11,-1.0,1.0,1.0
4337,0,10,-116,-3,10,1.0,0.0,0.0
4338,1,3,-47,0,16,-4.0,1.0,1.0
4339,0,-19,-190,3,17,4.0,0.0,0.0
4340,1,116,480,-7,1,-13.5,1.0,1.0
4341,0,-20,-141,2,24,13.5,0.0,0.0
4342,1,33,487,-3,12,-8.0,1.0,0.0
4343,0,-60,-173,3,29,8.0,0.0,1.0
4344,1,-21,129,1,15,-6.0,0.0,0.0
4345,0,-34,-47,7,32,6.0,1.0,1.0
4346,1,21,-139,-2,13,-6.0,1.0,0.0
4347,0,5,-115,-3,9,6.0,0.0,1.0
4348,1,55,46,-5,5,2.0,1.0,1.0
4349,0,44,-305,-7,4,-2.0,0.0,0.0
4350,1,-36,8,-2,21,2.0,0.0,0.0
4351,0,7,-601,-11,14,-2.0,1.0,1.0
4352,1,-98,-972,-1,31,8.0,1.0,1.0
4353,0,40,555,2,7,-8.0,0.0,0.0
4354,1,-30,-421,9,22,3.0,1.0,1.0
4355,0,56,627,-5,2,-3.0,0.0,0.0
4356,1,-38,64,8,26,3.0,0.0,0.0
4357,0,23,-51,-4,18,-3.0,1.0,1.0
4358,1,-36,483,6,19,-3.0,0.0,0.0
4359,0,-62,-88,0,28,3.0,1.0,1.0
4360,1,38,341,-7,11,-2.0,0.0,0.0
4361,0,19,-24,-1,17,2.0,1.0,1.0
4362,1,7,-89,-4,10,-7.0,0.0,0.0
4363,0,-59,19,1,21,7.0,1.0,1.0
4364,1,-28,20,6,29,3.5,0.0,0.0
4365,0,63,71,-6,3,-3.5,1.0,1.0
4366,1,36,-330,-6,5,-10.0,0.0,0.0
4367,0,-96,-384,9,32,10.0,1.0,1.0
4368,1,24,18,-4,9,-7.0,1.0,1.0
4369,0,-70,-598,4,28,7.0,0.0,0.0
4370,1,-24,-211,7,24,-5.0,0.0,0.0
4371,0,-65,-27,7,31,5.0,1.0,1.0
4372,1,-50,64,-1,25,1.0,1.0,1.0
4373,0,-44,16,9,23,-1.0,0.0,0.0
4374,1,29,-3,-5,16,-6.0,0.0,0.0
4375,0,-35,-213,4,20,6.0,1.0,1.0
4376,1,-37,-351,2,26,1.0,1.0,1.0
4377,0,-27,62,2,18,-1.0,0.0,0.0
4378,1,2,-272,-1,13,-3.0,0.0,0.0
4379,0,28,-85,0,8,3.0,1.0,1.0
4380,1,53,571,-3,4,-3.0,0.0,0.0
4381,0,13,-89,-3,19,3.0,1.0,1.0
4382,1,21,-657,-12,15,7.0,0.0,1.0
4383,0,133,690,-7,1,-7.0,1.0,0.0
4384,1,27,546,1,7,-3.0,0.0,0.0
4385,0,110,837,-3,6,3.0,1.0,1.0
4386,1,87,336,-4,2,-10.0,0.0,0.0
4387,0,-31,148,2,27,10.0,1.0,1.0
4388,1,-63,-166,4,26,-3.0,1.0,1.0
4389,0,-45,-41,8,25,3.0,0.0,0.0
4390,1,28,144,-4,19,-6.0,0.0,0.0
4391,0,-46,178,0,23,6.0,1.0,1.0
4392,1,-26,-72,10,29,-3.0,1.0,0.5
4393,0,-17,-201,-4,21,3.0,0.0,0.5
4394,1,-35,131,1,16,2.0,0.0,0.5
4395,0,37,489,2,7,-2.0,1.0,0.5
4396,1,39,539,0,8,-3.0,0.0,0.0
4397,0,-27,-365,7,17,3.0,1.0,1.0
4398,1,80,132,-8,2,-7.0,1.0,1.0
4399,0,-4,-191,0,20,7.0,0.0,0.0
4400,1,-94,-469,10,30,1.0,1.0,1.0
4401,0,-14,-286,1,14,-1.0,0.0,0.0
4402,1,-27,148,1,22,4.0,1.0,1.0
4403,0,33,379,-3,13,-4.0,0.0,0.0
4404,1,-34,-360,3,18,2.0,0.0,0.0
4405,0,-48,-98,8,27,-2.0,1.0,1.0
4406,1,-39,376,5,28,3.0,0.0,0.0
4407,0,29,-7,-8,15,-3.0,1.0,1.0
4408,1,44,-71,-2,5,0.0,0.0,0.0
4409,0,34,-245,-7,6,0.0,1.0,1.0
4410,1,20,438,-1,11,-14.0,1.0,1.0
4411,0,-97,-956,1,31,14.0,0.0,0.0
4412,1,117,945,-1,3,-4.0,1.0,0.0
4413,0,83,336,-3,4,4.0,0.0,1.0
4414,1,134,674,-6,1,-7.0,1.0,0.5
4415,0,24,-62,-5,12,7.0,0.0,0.5
4416,1,-89,-310,10,24,-3.0,1.0,1.0
4417,0,0,6,-1,25,3.0,0.0,0.0
4418,1,-38,78,9,21,1.0,0.0,0.0
4419,0,108,314,-13,2,-1.0,1.0,1.0
4420,1,51,-267,-8,6,-8.0,0.0,0.0
4421,0,-37,89,3,19,8.0,1.0,1.0
4422,1,26,282,-2,16,-4.5,1.0,1.0
4423,0,-44,-536,2,23,4.5,0.0,0.0
4424,1,-51,-33,7,31,1.0,0.0,0.0
4425,0,-19,-445,1,18,-1.0,1.0,1.0
4426,1,-20,245,0,17,-3.5,1.0,1.0
4427,0,-60,-98,4,26,3.5,0.0,0.0
4428,1,-24,-464,6,10,-3.0,1.0,1.0
4429,0,-18,316,-3,12,3.0,0.0,0.0
4430,1,36,638,1,11,-2.0,0.0,0.0
4431,0,27,-49,-1,7,2.0,1.0,1.0
4432,1,80,330,-4,5,-9.5,1.0,1.0
4433,0,-20,-376,-2,22,9.5,0.0,0.0
4434,1,-32,-373,5,20,1.0,1.0,1.0
4435,0,20,-641,-13,15,-1.0,0.0,0.0
4436,1,59,177,-10,13,-4.5,1.0,1.0
4437,0,17,-99,-5,14,4.5,0.0,0.0
4438,1,-57,-174,5,27,-5.0,0.0,0.0
4439,0,-69,192,7,28,5.0,1.0,1.0
4440,1,-113,-1158,1,29,8.5,0.0,1.0
4441,0,120,951,0,4,-8.5,1.0,0.0
4442,1,36,640,-1,8,-3.0,1.0,1.0
4443,0,45,135,-5,9,3.0,0.0,0.0
4444,1,39,531,0,3,2.0,1.0,1.0
4445,0,141,711,-6,1,-2.0,0.0,0.0
4446,1,-91,-715,5,32,-6.0,0.0,0.0
4447,0,-23,103,8,30,6.0,1.0,1.0
4448,1,-58,-107,9,21,2.5,0.0,0.0
4449,0,47,-192,-6,8,-2.5,1.0,1.0
4450,1,-44,-407,0,26,3.5,0.0,0.0
4451,0,126,920,-2,4,-3.5,1.0,1.0
4452,1,-54,-191,7,30,-3.0,1.0,0.5
4453,0,-63,-123,6,28,3.0,0.0,0.5
4454,1,-33,14,1,20,-6.0,0.0,0.0
4455,0,-119,-1127,3,31,6.0,1.0,1.0
4456,1,9,-97,-3,19,-3.0,1.0,1.0
4457,0,-2,339,0,11,3.0,0.0,0.0
4458,1,37,-10,-3,6,2.5,0.0,0.0
4459,0,45,538,-5,7,-2.5,1.0,1.0
4460,1,-31,324,-2,17,0.0,1.0,1.0
4461,0,26,599,3,15,0.0,0.0,0.0
4462,1,-97,-713,3,32,7.5,0.0,0.0
4463,0,104,361,-6,5,-7.5,1.0,1.0
4464,1,-62,-614,4,23,-3.5,1.0,0.0
4465,0,-17,101,10,25,3.5,0.0,1.0
4466,1,14,-716,-10,18,2.5,0.0,0.0
4467,0,44,360,-4,12,-2.5,1.0,1.0
4468,1,-63,141,6,27,6.0,0.0,0.0
4469,0,45,663,0,3,-6.0,1.0,1.0
4470,1,-16,-287,1,16,3.0,0.0,0.0
4471,0,67,175,-12,10,-3.0,1.0,1.0
4472,1,-78,-192,4,22,6.0,0.0,1.0
4473,0,127,398,-16,1,-6.0,1.0,0.0
4474,1,135,579,-6,2,-9.0,0.0,0.0
4475,0,-31,-197,0,24,9.0,1.0,1.0
4476,1,36,237,-1,9,-9.5,1.0,1.0
4477,0,-11,-472,5,14,9.5,0.0,0.0
4478,1,-26,-298,2,13,-2.0,0.0,0.0
4479,0,-57,-6,12,29,2.0,1.0,1.0
4480,1,150,1232,-3,2,-10.0,1.0,0.0
4481,0,6,-318,-3,11,10.0,0.0,1.0
4482,1,-24,-376,-1,19,-1.0,1.0,1.0
4483,0,18,-108,-4,12,1.0,0.0,0.0
4484,1,-27,393,-1,14,-6.0,0.0,0.0
4485,0,-81,-355,2,25,6.0,1.0,1.0
4486,1,47,468,-4,10,-8.0,1.0,1.0
4487,0,-51,-107,8,27,8.0,0.0,0.0
4488,1,-19,257,11,30,10.5,0.0,0.0
4489,0,76,846,-5,6,-10.5,1.0,1.0
4490,1,-39,87,2,21,-4.0,0.0,0.0
4491,0,-29,-350,0,18,4.0,1.0,1.0
4492,1,-66,-207,5,29,-1.0,1.0,1.0
4493,0,-46,-754,6,16,1.0,0.0,0.0
4494,1,138,465,-8,3,-1.0,0.0,0.0
4495,0,71,519,-2,8,1.0,1.0,1.0
4496,1,-68,-719,1,28,3.0,1.0,1.0
4497,0,-62,-114,9,22,-3.0,0.0,0.0
4498,1,-131,-817,5,32,-2.5,1.0,1.0
4499,0,-113,-1200,2,26,2.5,0.0,0.0
4500,1,130,561,-14,1,-8.5,1.0,1.0
4501,0,22,530,2,15,8.5,0.0,0.0
4502,1,81,46,-13,9,-12.0,1.0,0.0
4503,0,-77,120,8,31,12.0,0.0,1.0
4504,1,59,684,-2,4,-6.0,0.0,0.0
4505,0,-30,-158,2,17,6.0,1.0,1.0
4506,1,51,-185,-6,7,-6.5,1.0,1.0
4507,0,-54,46,14,23,6.5,0.0,0.0
4508,1,-11,350,1,13,5.0,0.0,0.0
4509,0,128,758,-5,5,-5.0,1.0,1.0
